solution_name	content_name	content_type
Microsoft Defender XDR	Email Top 10 Targeted Users (Spam)	HuntingQuery
Microsoft Defender XDR	Local Admin Group Changes	HuntingQuery
Microsoft Defender XDR	External malicious Teams messages sent from internal senders	HuntingQuery
Microsoft Defender XDR	Teams User submissions daily trend	HuntingQuery
Microsoft Defender XDR	Remote File Creation with PsExec	HuntingQuery
Microsoft Defender XDR	Determine Successfully Delivered Phishing Emails to Inbox/Junk folder.	HuntingQuery
Microsoft Defender XDR	Admin Submissions by DetectionMethod (Spam FP)	HuntingQuery
Microsoft Defender XDR	Emails with QR codes and suspicious keywords in subject	HuntingQuery
Microsoft Defender XDR	Teams URL clicks actions summarized by URLs clicked on	HuntingQuery
Microsoft Defender XDR	DopplePaymer Procdump	AnalyticsRule
Microsoft Defender XDR	PrintNightmare CVE-2021-1675 usage Detection	HuntingQuery
Microsoft Defender XDR	Emails delivered having URLs from QR codes	HuntingQuery
Microsoft Defender XDR	Top 10 External Senders (Spam)	HuntingQuery
Microsoft Defender XDR	Top 10 senders - Teams users submissions FN or FP	HuntingQuery
Microsoft Entra ID	Privileged Accounts - Sign in Failure Spikes	AnalyticsRule
Microsoft Entra ID	Conditional Access - A Conditional Access policy was put into report-only mode	AnalyticsRule
Microsoft Entra ID	Conditional Access - A Conditional Access policy was disabled	AnalyticsRule
Microsoft Entra ID	Password spray attack against Microsoft Entra ID Seamless SSO	AnalyticsRule
Microsoft Entra ID	Reset-EntraIDPassword-IncidentTrigger	Playbook
Microsoft Entra ID	Authentication Methods Changed for Privileged Account	AnalyticsRule
Microsoft Entra ID	Suspicious Service Principal creation activity	AnalyticsRule
Microsoft Entra ID	Conditional Access - A Conditional Access app exclusion has changed	AnalyticsRule
Microsoft Entra ID	NRT New access credential added to Application or Service Principal	AnalyticsRule
Microsoft Entra ID	User Accounts - Sign in Failure due to CA Spikes	AnalyticsRule
Microsoft Entra ID	NRT First access credential added to Application or Service Principal where no credential was present	AnalyticsRule
Microsoft Entra ID	External guest invitation followed by Microsoft Entra ID PowerShell signin	AnalyticsRule
Microsoft Entra ID	Revoke-EntraIDSignInSessions-alert	Playbook
Microsoft Entra ID	NRT PIM Elevation Request Rejected	AnalyticsRule
Microsoft Entra ID	User added to Microsoft Entra ID Privileged Groups	AnalyticsRule
Microsoft Entra ID	Attempt to bypass conditional access rule in Microsoft Entra ID	AnalyticsRule
Microsoft Entra ID	Block-EntraIDUser-Alert	Playbook
Microsoft Entra ID	First access credential added to Application or Service Principal where no credential was present	AnalyticsRule
Microsoft Entra ID	PIM Elevation Request Rejected	AnalyticsRule
Microsoft Entra ID	Microsoft Entra ID Sign-in logs	Workbook
Microsoft Entra ID	Cross-tenant Access Settings Organization Outbound Direct Settings Changed	AnalyticsRule
Microsoft Entra ID	Conditional Access - Dynamic Group Exclusion Changes	AnalyticsRule
Microsoft Entra ID	Microsoft Entra ID Role Management Permission Grant	AnalyticsRule
Microsoft Entra ID	New User Assigned to Privileged Role	AnalyticsRule
Microsoft Entra ID	New onmicrosoft domain added to tenant	AnalyticsRule
Microsoft Entra ID	Credential added after admin consented to Application	AnalyticsRule
Microsoft Entra ID	Mail.Read Permissions Granted to Application	AnalyticsRule
Microsoft Entra ID	Account created or deleted by non-approved user	AnalyticsRule
Microsoft Entra ID	Possible SignIn from Azure Backdoor	AnalyticsRule
Microsoft Entra ID	Successful logon from IP and failure from a different IP	AnalyticsRule
Microsoft Entra ID	Reset-EntraIDPassword-AlertTrigger	Playbook
Microsoft Entra ID	Conditional Access - A Conditional Access user/group/role exclusion has changed	AnalyticsRule
Microsoft Entra ID	Azure Portal sign in from another Azure Tenant	AnalyticsRule
Microsoft Entra ID	Failed login attempts to Azure Portal	AnalyticsRule
Microsoft Entra ID	Revoke-EntraIDSignInSessions-incident	Playbook
Microsoft Entra ID	Conditional Access - A Conditional Access policy was updated	AnalyticsRule
Microsoft Entra ID	Modified domain federation trust settings	AnalyticsRule
Microsoft Entra ID	Attempts to sign in to disabled accounts	AnalyticsRule
Microsoft Entra ID	Microsoft Entra ID Audit logs	Workbook
Microsoft Entra ID	Prompt-User-Incident	Playbook
Microsoft Entra ID	User Assigned New Privileged Role	AnalyticsRule
Microsoft Entra ID	NRT User added to Microsoft Entra ID Privileged Groups	AnalyticsRule
Microsoft Entra ID	Conditional Access - A Conditional Access Device platforms condition has changed (the Device platforms condition can be spoofed)	AnalyticsRule
Microsoft Entra ID	Suspicious application consent similar to O365 Attack Toolkit	AnalyticsRule
Microsoft Entra ID	Brute force attack against a Cloud PC	AnalyticsRule
Microsoft Entra ID	NRT Privileged Role Assigned Outside PIM	AnalyticsRule
Microsoft Entra ID	Sign-ins from IPs that attempt sign-ins to disabled accounts	AnalyticsRule
Microsoft Entra ID	MFA Spamming followed by Successful login	AnalyticsRule
Microsoft Entra ID	Conditional Access - A Conditional Access policy was deleted	AnalyticsRule
Microsoft Entra ID	GitHub Signin Burst from Multiple Locations	AnalyticsRule
Microsoft Entra ID	Multiple admin membership removals from newly created admin.	AnalyticsRule
Microsoft Entra ID	New access credential added to Application or Service Principal	AnalyticsRule
Microsoft Entra ID	Password spray attack against ADFSSignInLogs	AnalyticsRule
Microsoft Entra ID	NRT Modified domain federation trust settings	AnalyticsRule
Microsoft Entra ID	Admin promotion after Role Management Application Permission Grant	AnalyticsRule
Microsoft Entra ID	Privileged Role Assigned Outside PIM	AnalyticsRule
Microsoft Entra ID	Distributed Password cracking attempts in Microsoft Entra ID	AnalyticsRule
Microsoft Entra ID	Suspicious application consent similar to PwnAuth	AnalyticsRule
Microsoft Entra ID	Guest accounts added in Entra ID Groups other than the ones specified	AnalyticsRule
Microsoft Entra ID	Password spray attack against Microsoft Entra ID application	AnalyticsRule
Microsoft Entra ID	[Deprecated] Explicit MFA Deny	AnalyticsRule
Microsoft Entra ID	Rare application consent	AnalyticsRule
Microsoft Entra ID	Brute Force Attack against GitHub Account	AnalyticsRule
Microsoft Entra ID	MFA Rejected by User	AnalyticsRule
Microsoft Entra ID	Cross-tenant Access Settings Organization Inbound Direct Settings Changed	AnalyticsRule
Microsoft Entra ID	Cross-tenant Access Settings Organization Inbound Collaboration Settings Changed	AnalyticsRule
Microsoft Entra ID	Prompt-User-Alert	Playbook
Microsoft Entra ID	Suspicious Entra ID Joined Device Update	AnalyticsRule
Microsoft Entra ID	Brute force attack against Azure Portal	AnalyticsRule
Microsoft Entra ID	Microsoft Entra ID PowerShell accessing non-Entra ID resources	AnalyticsRule
Microsoft Entra ID	Reset-EntraIDUserPassword-EntityTrigger	Playbook
Microsoft Entra ID	Block-EntraIDUser-EntityTrigger	Playbook
Microsoft Entra ID	full_access_as_app Granted To Application	AnalyticsRule
Microsoft Entra ID	Microsoft Entra ID	DataConnector
Microsoft Entra ID	Cross-tenant Access Settings Organization Outbound Collaboration Settings Changed	AnalyticsRule
Microsoft Entra ID	Conditional Access - A new Conditional Access policy was created	AnalyticsRule
Microsoft Entra ID	Block-EntraIDUser-Incident	Playbook
Microsoft Entra ID	Revoke-EntraIDSignIn-Session-entityTrigger	Playbook
Microsoft Entra ID	Suspicious Sign In Followed by MFA Modification	AnalyticsRule
Microsoft Entra ID	Conditional Access SISM	Workbook
Microsoft Entra ID	Cross-tenant Access Settings Organization Added	AnalyticsRule
Microsoft Entra ID	NRT Authentication Methods Changed for VIP Users	AnalyticsRule
Microsoft Entra ID	Cross-tenant Access Settings Organization Deleted	AnalyticsRule
Microsoft Entra ID	Account Created and Deleted in Short Timeframe	AnalyticsRule
Microsoft Entra ID	Bulk Changes to Privileged Account Permissions	AnalyticsRule
Microsoft Entra ID	Azure RBAC (Elevate Access)	AnalyticsRule
Microsoft Entra ID	Anomalous sign-in location by user account and authenticating application	AnalyticsRule
Microsoft Entra ID	Suspicious application consent for offline access	AnalyticsRule
Microsoft Entra ID Protection	Microsoft Entra ID Protection	DataConnector
Microsoft Entra ID Protection	Correlate Unfamiliar sign-in properties & atypical travel alerts	AnalyticsRule
Microsoft Entra ID Protection	Dismiss-EntraIDRiskyUser-UserIncident	Playbook
Microsoft Entra ID Protection	Confirm-EntraIDRiskyUser-Incident	Playbook
Microsoft Entra ID Protection	Dismiss-EntraIDRiskyUser-UserAlert	Playbook
Microsoft Entra ID Protection	IdentityProtection-ResponseFromTeams	Playbook
Microsoft Entra ID Protection	Confirm-EntraIDRiskyUser-Alert	Playbook
Microsoft Purview Insider Risk Management	Notify-InsiderRiskTeam	Playbook
Microsoft Purview Insider Risk Management	Insider Risk_Risky User Access By Application	AnalyticsRule
Microsoft Purview Insider Risk Management	Insider Risk_High User Security Incidents Correlation	AnalyticsRule
Microsoft Purview Insider Risk Management	Insider Risk_Sign In Risk Followed By Sensitive Data Access	HuntingQuery
Microsoft Purview Insider Risk Management	Insider Risk_Microsoft Purview Insider Risk Management Alert Observed	AnalyticsRule
Microsoft Purview Insider Risk Management	Insider Risk_ISP Anomaly to Exfil	HuntingQuery
Microsoft Purview Insider Risk Management	Insider Risk_Sensitive Data Access Outside Organizational Geo-location	AnalyticsRule
Microsoft Purview Insider Risk Management	Insider Risk_Possible Sabotage	HuntingQuery
Microsoft Purview Insider Risk Management	Insider Risk_Entity Anomaly Followed by IRM Alert	HuntingQuery
Microsoft Purview Insider Risk Management	Microsoft 365 Insider Risk Management	DataConnector
Microsoft Purview Insider Risk Management	Insider Risk_High User Security Alert Correlations	AnalyticsRule
Microsoft Purview Insider Risk Management	Insider Risk_Multiple Entity-Based Anomalies	HuntingQuery
Microsoft Purview Insider Risk Management	Insider Risk Management	Workbook
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub - Repository was destroyed	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	NRT GitHub Two Factor Auth Disable	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	[Deprecated] GitHub Enterprise Audit Log	DataConnector
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub - User was blocked	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub Activites from a New Country	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	Parser for GitHubCodeScanningData	Parser
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub Mass Deletion of repos or projects	HuntingQuery
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	Parser for GitHubAuditData	Parser
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub Security Vulnerability in Repository	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub Inactive or New Account Access or Usage	HuntingQuery
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub Repo switched from private to public	HuntingQuery
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub (using Webhooks)	DataConnector
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub First Time Invite Member and Add Member to Repo	HuntingQuery
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	Parser for GitHubDependabotData	Parser
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub - User was added to the organization	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub User Grants Access and Other User Grants Access	HuntingQuery
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub Security	Workbook
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub - User was invited to the repository	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub - A payment method was removed	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GithubWorkbook	Workbook
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub - Oauth application - a client secret was removed	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub - Repository was created	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub First Time Repo Delete	HuntingQuery
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub OAuth App Restrictions Disabled	HuntingQuery
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub - pull request was created	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub Update Permissions	HuntingQuery
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	Parser for GitHubSecretScanningData	Parser
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub Two Factor Auth Disable	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub Enterprise Audit Log (via Codeless Connector Framework)	DataConnector
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub Enterprise Audit Log (via Codeless Connector Framework)	ResourcesDataConnector
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub - User visibility Was changed	AnalyticsRule
Microsoft Sentinel - Continuous Threat Monitoring for GitHub	GitHub - pull request was merged	AnalyticsRule
Threat Intelligence (NEW)	TI Map IP Entity to DnsEvents	AnalyticsRule
Threat Intelligence (NEW)	TI map Email entity to SecurityAlert	AnalyticsRule
Threat Intelligence (NEW)	TI map Domain entity to Web Session Events (ASIM Web Session schema)	AnalyticsRule
Threat Intelligence (NEW)	TI map Domain entity to SecurityAlert	AnalyticsRule
Threat Intelligence (NEW)	TI Map IP Entity to SigninLogs	AnalyticsRule
Threat Intelligence (NEW)	Threat Intelligence Platforms	DataConnector
Threat Intelligence (NEW)	TI map IP entity to DNS Events (ASIM DNS schema)	AnalyticsRule
Threat Intelligence (NEW)	Threat intelligence - TAXII	DataConnector
Threat Intelligence (NEW)	TI map Domain entity to PaloAlto	AnalyticsRule
Threat Intelligence (NEW)	TI map Domain entity to EmailUrlInfo	AnalyticsRule
Threat Intelligence (NEW)	TI Map URL Entity to UrlClickEvents	AnalyticsRule
Threat Intelligence (NEW)	Threat Intelligence	Workbook
Threat Intelligence (NEW)	TI Map URL Entity to SecurityAlert Data	AnalyticsRule
Threat Intelligence (NEW)	TI Map IP Entity to Duo Security	AnalyticsRule
Threat Intelligence (NEW)	TI map Domain entity to PaloAlto CommonSecurityLog	AnalyticsRule
Threat Intelligence (NEW)	Threat intelligence - TAXII Export (Preview)	DataConnector
Threat Intelligence (NEW)	TI Map IP Entity to AzureActivity	AnalyticsRule
Threat Intelligence (NEW)	TI map Email entity to SigninLogs	AnalyticsRule
Threat Intelligence (NEW)	TI Map Domain Entity to DeviceNetworkEvents	AnalyticsRule
Threat Intelligence (NEW)	TI map Email entity to PaloAlto CommonSecurityLog	AnalyticsRule
Threat Intelligence (NEW)	TI map Domain entity to Dns Events (ASIM DNS Schema)	AnalyticsRule
Threat Intelligence (NEW)	TI map URL entity to Cloud App Events	AnalyticsRule
Threat Intelligence (NEW)	TI Map File Entity to OfficeActivity Event	HuntingQuery
Threat Intelligence (NEW)	TI map Domain entity to DnsEvents	AnalyticsRule
Threat Intelligence (NEW)	TI Map IP Entity to DeviceNetworkEvents	AnalyticsRule
Threat Intelligence (NEW)	TI Map URL Entity to EmailUrlInfo	AnalyticsRule
Threat Intelligence (NEW)	TI Map File Entity to Security Event	HuntingQuery
Threat Intelligence (NEW)	TI map Email entity to Cloud App Events	AnalyticsRule
Threat Intelligence (NEW)	TI map Email entity to OfficeActivity	AnalyticsRule
Threat Intelligence (NEW)	TI map IP entity to Network Session Events (ASIM Network Session schema)	AnalyticsRule
Threat Intelligence (NEW)	TI map Domain entity to Syslog	AnalyticsRule
Threat Intelligence (NEW)	TI map IP entity to Workday(ASimAuditEventLogs)	AnalyticsRule
Threat Intelligence (NEW)	TI map Email entity to EmailEvents	AnalyticsRule
Threat Intelligence (NEW)	TI map Domain entity to Cloud App Events	AnalyticsRule
Threat Intelligence (NEW)	TI map IP entity to AzureNetworkAnalytics_CL (NSG Flow Logs)	AnalyticsRule
Threat Intelligence (NEW)	TI map Email entity to AzureActivity	AnalyticsRule
Threat Intelligence (NEW)	Premium Microsoft Defender Threat Intelligence	DataConnector
Threat Intelligence (NEW)	TI map File Hash to CommonSecurityLog Event	AnalyticsRule
Threat Intelligence (NEW)	Microsoft Defender Threat Intelligence	DataConnector
Threat Intelligence (NEW)	TI Map URL Entity to Syslog Data	AnalyticsRule
Threat Intelligence (NEW)	TI map IP entity to Azure Key Vault logs	AnalyticsRule
Threat Intelligence (NEW)	TI Map IP Entity to W3CIISLog	AnalyticsRule
Threat Intelligence (NEW)	TI Map IP Entity to VMConnection	AnalyticsRule
Threat Intelligence (NEW)	TI Map URL Entity to PaloAlto Data	AnalyticsRule
Threat Intelligence (NEW)	TI map IP entity to AWSCloudTrail	AnalyticsRule
Threat Intelligence (NEW)	TI Map IP Entity to CommonSecurityLog	AnalyticsRule
Threat Intelligence (NEW)	Parser for ThreatIntelIndicators	Parser
Threat Intelligence (NEW)	TI map IP entity to Web Session Events (ASIM Web Session schema)	AnalyticsRule
Threat Intelligence (NEW)	TI Map File Entity to Syslog Event	HuntingQuery
Threat Intelligence (NEW)	TI map IP entity to OfficeActivity	AnalyticsRule
Threat Intelligence (NEW)	TI map IP entity to AppServiceHTTPLogs	AnalyticsRule
Threat Intelligence (NEW)	TI Map URL Entity to DeviceNetworkEvents	AnalyticsRule
Threat Intelligence (NEW)	TI map IP entity to Cloud App Events	AnalyticsRule
Threat Intelligence (NEW)	TI Map File Entity to WireData Event	HuntingQuery
Threat Intelligence (NEW)	TI map IP entity to AzureFirewall	AnalyticsRule
Threat Intelligence (NEW)	Threat Intelligence Upload API (Preview)	DataConnector
Threat Intelligence (NEW)	TI Map URL Entity to AuditLogs	AnalyticsRule
Threat Intelligence (NEW)	TI map File Hash to Security Event	AnalyticsRule
Threat Intelligence (NEW)	TI map IP entity to GitHub_CL	AnalyticsRule
Threat Intelligence (NEW)	TI map File Hash to DeviceFileEvents Event	AnalyticsRule
Threat Intelligence (NEW)	TI map URL entity to Web Session Events (ASIM Web Session schema)	AnalyticsRule
Threat Intelligence (NEW)	TI map Domain entity to EmailEvents	AnalyticsRule
Threat Intelligence (NEW)	TI map Email entity to SecurityEvent	AnalyticsRule
Threat Intelligence (NEW)	TI Map File Entity to VMConnection Event	HuntingQuery
Threat Intelligence (NEW)	TI Map IP Entity to Azure SQL Security Audit Events	AnalyticsRule
